symbol,lastPrice,pChange,open,dayHigh,dayLow,fetchTime
BAJAJ-AUTO,8333.5,0.04,8305,8364,8305,2025-07-18 10:10:49
ULTRACEMCO,12499,0.03,12520,12558,12492,2025-07-18 10:10:49
CANBK,115.56,0.03,115.5,116.1,114.53,2025-07-18 10:10:49
SRF,3203.2,0.02,3210.5,3213,3195.1,2025-07-18 10:10:49
SONACOMS,486.05,0.01,486,489,482.35,2025-07-18 10:10:49
COALINDIA,385.9,0.0,387,389.25,385.7,2025-07-18 10:10:49
IDEA,7.76,0.0,7.76,7.8,7.71,2025-07-18 10:10:49
RELIANCE,1476.3,-0.01,1484.8,1484.8,1475.1,2025-07-18 10:10:49
TCS,3208.5,-0.02,3225,3228.8,3207.9,2025-07-18 10:10:49
OFSS,8742,-0.03,8777,8800,8738.5,2025-07-18 10:10:49
VOLTAS,1390.1,-0.04,1385.1,1395,1384.7,2025-07-18 10:10:49
MFSL,1537,-0.04,1529.9,1550.1,1528.9,2025-07-18 10:10:49
M&MFIN,261.5,-0.06,263,263,261.4,2025-07-18 10:10:49
KFINTECH,1267.8,-0.06,1273.9,1280.4,1267.4,2025-07-18 10:10:49
RECLTD,400.9,-0.07,401.6,403,398.4,2025-07-18 10:10:49
BAJAJFINSV,2024.6,-0.09,2029.9,2033,2018.2,2025-07-18 10:10:49
BANKBARODA,246.3,-0.09,245.02,247.5,244.56,2025-07-18 10:10:49
NTPC,342.35,-0.09,343,343.9,341.8,2025-07-18 10:10:49
PGEL,825.15,-0.11,829.8,830.95,823,2025-07-18 10:10:49
DRREDDY,1261.6,-0.12,1265,1270.6,1259.3,2025-07-18 10:10:49
KAYNES,5946,-0.13,5970,5984.5,5938,2025-07-18 10:10:49
MARUTI,12459,-0.14,12525,12527,12443,2025-07-18 10:10:49
ICICIBANK,1416.7,-0.14,1415.8,1423.2,1410.8,2025-07-18 10:10:49
CHOLAFIN,1561.8,-0.16,1563,1571.4,1559.3,2025-07-18 10:10:49
INDIANB,636.95,-0.16,638,640.95,635,2025-07-18 10:10:49
ABFRL,75.6,-0.16,75.72,75.99,75.54,2025-07-18 10:10:49
CAMS,4232,-0.18,4238.5,4265,4227.1,2025-07-18 10:10:49
TIINDIA,2936.7,-0.18,2942.4,2947.9,2924.4,2025-07-18 10:10:49
EICHERMOT,5640,-0.18,5664,5681.5,5636,2025-07-18 10:10:49
MUTHOOTFIN,2655,-0.19,2655.1,2674,2640,2025-07-18 10:10:49
TRENT,5407,-0.19,5425,5443.5,5401,2025-07-18 10:10:49
CESC,180.35,-0.19,180.3,181.35,179.67,2025-07-18 10:10:49
IOC,150.67,-0.19,150.51,151.61,150.11,2025-07-18 10:10:49
PAGEIND,47190,-0.2,47490,47490,47170,2025-07-18 10:10:49
BANKINDIA,115.86,-0.21,116.39,116.75,115.76,2025-07-18 10:10:49
TATACONSUM,1103.5,-0.21,1106,1108.3,1101.9,2025-07-18 10:10:49
NATIONALUM,188.71,-0.22,189.59,190.36,188.55,2025-07-18 10:10:49
NESTLEIND,2443.5,-0.23,2459,2459,2438.1,2025-07-18 10:10:49
CONCOR,619.45,-0.26,622.6,625,619.05,2025-07-18 10:10:49
BHEL,252.55,-0.28,253.15,254.85,252.4,2025-07-18 10:10:49
HEROMOTOCO,4430.7,-0.29,4450,4484,4425.1,2025-07-18 10:10:49
LAURUSLABS,819,-0.3,825.1,825.1,818.55,2025-07-18 10:10:49
PAYTM,996.35,-0.31,998,1002.7,991.35,2025-07-18 10:10:49
GRANULES,500.9,-0.31,504.5,505.75,499.4,2025-07-18 10:10:49
ACC,1972.5,-0.32,1985,1989.7,1972.5,2025-07-18 10:10:49
ADANIENT,2608,-0.33,2612,2626.7,2607.7,2025-07-18 10:10:49
UPL,690.3,-0.34,694,697.9,689.8,2025-07-18 10:10:49
IRFC,134.45,-0.34,134.99,135.43,134.35,2025-07-18 10:10:49
DIXON,16051,-0.35,16140,16195,16050,2025-07-18 10:10:49
TATAELXSI,6175,-0.35,6196.5,6225,6169.5,2025-07-18 10:10:49
DMART,4041.3,-0.36,4059.9,4068.9,4040.1,2025-07-18 10:10:49
ATGL,659.2,-0.37,662.55,664.6,658.15,2025-07-18 10:10:49
ITC,422.35,-0.38,425.2,425.2,422.05,2025-07-18 10:10:49
IRB,48.18,-0.41,48.3,48.5,48.15,2025-07-18 10:10:49
GAIL,184.5,-0.43,185,185.8,184.5,2025-07-18 10:10:49
HINDUNILVR,2499.1,-0.43,2514.9,2514.9,2494.2,2025-07-18 10:10:49
HDFCBANK,1978.3,-0.43,1986.9,1997,1975.7,2025-07-18 10:10:49
